question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
1601,"If I know coding.",🔴,N/A,N/A,N/A,"Incomplete question; unclear"
1634,"If your grocery store's foot traffic suddenly increased to 10 times its normal capacity, how would you redesign the store layout and operations?",🟡,L2,Scale & Capacity,"Current Load → 10× Projection → Bottlenecks → Mitigation","Capacity scaling; scale planning"
1635,"If you're asked to deliver multiple features with half the resources, and stakeholders won't adjust scope, time, or cost, how would you handle it?",🟢,P11,Stakeholder Alignment,"Understand Incentives → Address Concerns → Build Coalition → Decide","Resource constraint; stakeholder management"
1636,"Imagine a teleportation machine that can teleport humans for 100 meters. How would you monetize it? What are the use cases?",🟢,P9,Revenue Optimization,"Levers (Price, Volume, Mix) → Test → Measure → Iterate","Monetization strategy; revenue optimization"
1637,"Imagine AirBnB is launching in a new region. Define success metrics for a one-page dashboard for executives.",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Launch metrics; metrics definition"
1638,"Imagine the providers of Google Glass reduced the production cost to $10; what actions would you take?",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Cost change response; product strategy"
1639,"Imagine you are a data scientist for Instagram. How would you balance ads and follower posts and how would you monitor its effectiveness.",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Ad balance; tradeoff analysis"
1640,"Imagine you are a data scientist for Netflix. How would you use data to decide whether a TV series is worth renewing?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Renewal decision; metrics"
1641,"Imagine you are a PM at Amazon and Walmart is entering your country. How would you respond?",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Competitive response; product strategy"
1642,"Imagine you are the CTO of an airline. Flights sometimes need rescheduling due to delays or breakdowns. Currently, this is done manually. How would you automate it?",🟡,L10,Process Optimization,"Map Workflow → Identify Bottlenecks → Optimize → Measure","Process automation; process optimization"
1643,"Imagine you launched a feature that users really like and find helpful, but it isn't driving any measurable business value. What would you do?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Feature value; tradeoff analysis"
1644,"Imagine you're a data scientist at Meta. There's been a sudden 10% drop in Facebook's daily post views. How would you investigate?",🟢,P1,Metric Drop Diagnosis,"Metric → Segment → Hypothesis → Data Check → Action","Post views drop; metric analysis"
1645,"Imagine you're a PM for Alaska Airlines. How would you improve the in-flight experience for customers?",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Experience improvement; product design"
1646,"Imagine you're a PM for Facebook. Design a product for teens.",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Product design; new product"
1647,"Imagine you're a PM for Meta. Design a product for hobbyists (eg. gardening)",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Product design; new product"
1648,"Imagine you're a PM for Meta. Design a product for Volunteering. What would you build? Why?",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Product design; new product"
1649,"Imagine you're a PM for Meta. What goals and metrics would you set for Horizon Worlds, a Meta Quest VR game?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","VR game metrics; metrics definition"
1650,"Imagine you're a startup founder and a VC asked you to build a company in the space of an AI career coaching. What would you build?",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Product design; new product"
1651,"Imagine you're conducting a user survey. What do you do if you can't get 'enough' respondents?",🟢,P8,Experimentation,"Hypothesis → Design → Run → Analyze → Decide","Survey methodology; experimentation"
1652,"Imagine you're deploying a new routine for the sales reps. How would you handle a situation where someone is not onboard?",🟢,P11,Stakeholder Alignment,"Understand Incentives → Address Concerns → Build Coalition → Decide","Change management; stakeholder management"
1653,"Imagine you're part of a team deploying a conversational AI model that can reason across sensitive topics. During internal testing, you discovered that the model usually gives overly confident but ...",🔴,N/A,N/A,N/A,"ML safety; technical question"
1654,"Imagine you're the PM for Uber Lite in a city of your choice. What metrics would you define to measure success?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Success metrics; metrics definition"
1655,"Implement a circular buffer.",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1656,"Implement a decode and encode function of a general N-ary tree.",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1657,"Implement a doubly linked list.",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1658,"Implement a function to find the minimum number of dice rolls needed to reach the end in a Snakes and Ladders game.",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1659,"Implement a function to justify a list of words within a given width.",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1660,"Implement a function to traverse cell dependencies in an Excel-like spreadsheet and detect circular references between cells.",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1661,"Implement a hashmap without using any libraries.",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1662,"Implement a JavaScript function for Promise.all().",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1663,"Implement a k-nearest neighbors algorithm.",🔴,N/A,N/A,N/A,"ML implementation; algorithm"
1664,"Implement a phrase search in a list of documents.",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1665,"Implement a queue using stacks.",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1666,"Implement a red-black tree.",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1667,"Implement a search algorithm for multiple records using backtracking.",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1668,"Implement a SQL parser that converts raw SQL strings into programming objects or ORM primitives.",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1669,"Implement a string sorting algorithm, treating digits as numbers.",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1670,"Implement an in-place merge of two sorted arrays.",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1671,"Implement an iterator class that supports next, hasNext, getState, and setState, then extend it to treat a list of iterators as one continuous iterator with a global index.",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1672,"Implement an LRU cache with serialization and evolving constraints.",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1673,"Implement inorder traversal for an N-ary tree.",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1674,"Implement k-means clustering.",🔴,N/A,N/A,N/A,"ML implementation; algorithm"
1675,"Implement LRU Cache.",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1676,"Implement merge-sort",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1677,"Implement the memcpy() function in C.",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1678,"Implement the power function without using pow method or or exponentiation operator.",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1679,"Implement Trie",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1680,"Implement wildcard pattern matching for a string (s) and a pattern (p) with '?' and '*' in a way that covers the entire input string.",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1681,"Improve a given system with your specialization: recommendations, natural language processing, or computer vision.",🔴,N/A,N/A,N/A,"ML implementation; technical question"
1682,"Improve Discord.",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Product improvement; product design"
1683,"Improve Facebook's Crisis Alert feature.",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Feature improvement; product design"
1684,"Improve Google Maps for group travel.",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Product improvement; product design"
1685,"Improve how Slack enables collaboration.",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Product improvement; product design"
1686,"Improve Pinterest.",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Product improvement; product design"
1687,"Improve StubHub.",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Product improvement; product design"
1688,"Improve the Apple Watch.",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Product improvement; product design"
1689,"Improve the Oculus Go.",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Product improvement; product design"
1690,"Improve the Oculus Store.",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Product improvement; product design"
1691,"Improve the post-booking experience for Turo.",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Experience improvement; product design"
1692,"Improve the seller drop-off experience on the GOAT app.",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Experience improvement; product design"
1693,"Improve the worst post-booking experience for Ticketmaster.",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Experience improvement; product design"
1694,"Improve the worst post-booking experience for United Airlines.",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Experience improvement; product design"
1695,"In a large application, which code branches are more important to be tested and how do you decide?",🟡,L11,Risk Mitigation,"Enumerate Risks → Blast Radius → Mitigations → Monitor","Testing prioritization; risk management"
1696,"In a multi-step funnel with drop-offs at each stage, which stage would you prioritize addressing first?",🟢,P3,Funnel Analysis,"Define Funnel → Drop-off → Diagnose Friction → Test Fix","Funnel prioritization; funnel analysis"
1697,"In the transformer architecture, what makes the decoder different from the encoder?",🔴,N/A,N/A,N/A,"ML theory; technical question"
1698,"In what cases should you use the median instead of the mean?",🔴,N/A,N/A,N/A,"Statistics theory; math question"
1699,"Instagram Likes",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Metrics question; metrics definition"
1700,"Instagram sees a 5% decrease in Daily Active Users (DAU) over a week. How do you determine the root cause?",🟢,P1,Metric Drop Diagnosis,"Metric → Segment → Hypothesis → Data Check → Action","DAU drop; metric analysis"
