question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
2758,You're a PM at Netflix. Should Netflix launch a podcasting app?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,General question
2760,You're a PM at Revolut. How would you improve our referral program over the next 3 months?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2762,You're a PM at Spotify. How would you approach increasing the price of the service?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2763,You're a PM at Spotify. How would you diagnose a user-reported connection issue?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2766,You're a PM at the Department of Motor Vehicles (DMV). What improvements would you make to their services?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,General question
2769,You're a PM at Trader Joe's. Sales are declining in cities where Instacart and Blue Apron are active. What would you do?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2770,You're a PM at Uber. There's a growing issue of drivers encouraging riders to pay cash instead of using the Uber mobile app. How would you address this issue?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2774,You're a PM at WhatsApp; how would you capture the market for kids during the lockdown period?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2776,You're a PM at YouTube Music. How would you 10x its monthly users in the next 5 years?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2778,You're a PM for a business intelligence system and it has a low NPS (25%). How would you bring it to 75%?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2788,You're a PM for an X-ray analysis software. You face user complaints about slow result processing times. How would you address this?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2789,You're a PM for ESPN's website and you see a decline in web traffic by 30%. What would you do?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2802,You're a PM for Google. How would you recruit tutors for a new Google online tutoring service?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2809,You're a PM for Lyft. How would you improve ride quality?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2820,"You're a PM for Reels at Meta. With Reels watch time up 20% but Instagram posts down 20%, what would you do?",🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2826,You're a PM for TikTok and have noticed a drop in daily active users (DAU). How would you investigate?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2827,You're a PM for Uber Eats. Cart conversation has dropped by 10% in the last 3 months. How would you find the root cause?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2862,"You're the PM for Agoda. Due to increasing failure rates in newer payment methods like wallets and UPI, how would you investigate the cause and what steps would you take to address it?",🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2864,You're the PM for Coinbase. DAU is down by 10%. What do you do to investigate?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,General question
2866,You're the PM for Facebook. There's been a significant drop in user engagement over the past 10 days. How would you investigate the cause and what steps would you take to address it?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2877,You're the PM of Revolut's trading platform. Profits have declined to negative for the first time. How would you investigate this issue?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2881,You've just joined a company as a PM. How would you first identify problems to work on?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2882,"You've just launched Facebook Jobs, a marketplace for employees and employers. Job listings are up 20%, but employer response time for applicants is down 20%. How would you approach this?",🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2886,YouTube's average video buffering time has increased by 10%. How would you address this issue?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2891,You’re told engagement is flat even though new users are increasing—what questions would you ask and what data would you look at?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,General question
1063,How do you collect user requirements?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Requirements gathering; stakeholder management
